question,answer,source_file
b'Calculate -4.53337975 - -0.97623.\n',b'-3.55714975\n',arithmetic__add_or_sub_train.csv
b'What is 1882654 minus -2455?\n',b'1885109\n',arithmetic__add_or_sub_train.csv
b'Total of 177558 and -0.14.\n',b'177557.86\n',arithmetic__add_or_sub_train.csv
b'Subtract 7 from -0.0856.\n',b'-7.0856\n',arithmetic__add_or_sub_train.csv
b'Add -3 and 157988878705.\n',b'157988878702\n',arithmetic__add_or_sub_train.csv
b'What is -79904669.46 + -2?\n',b'-79904671.46\n',arithmetic__add_or_sub_train.csv
b'Sum -468583 and -1.\n',b'-468584\n',arithmetic__add_or_sub_train.csv
b'Put together -0.5 and 1430867318.\n',b'1430867317.5\n',arithmetic__add_or_sub_train.csv
b'What is 145876641 + 3?\n',b'145876644\n',arithmetic__add_or_sub_train.csv
b'0.07325 - 0.5\n',b'-0.42675\n',arithmetic__add_or_sub_train.csv
b'Work out -932 + -7625621.\n',b'-7626553\n',arithmetic__add_or_sub_train.csv
b'Calculate 1 - (2 - 4) - 4.\n',b'-1\n',arithmetic__add_sub_multiple_train.csv
b'Evaluate 1 + 5 + -4 - (-3 + 7).\n',b'-2\n',arithmetic__add_sub_multiple_train.csv
b'Calculate (-1 - -6) + ((-5 - -18) + -8 - 5).\n',b'5\n',arithmetic__add_sub_multiple_train.csv
b'Calculate -11 + 2 - (6 - (25 - 16)).\n',b'-6\n',arithmetic__add_sub_multiple_train.csv
b'What is 4 + (3 + 2 + -36 + -8 + -8 - -6)?\n',b'-37\n',arithmetic__add_sub_multiple_train.csv
b'1 - (16 + -5 + -3)\n',b'-7\n',arithmetic__add_sub_multiple_train.csv
b'Evaluate (-3 - 0) + (3 + 5 - 12).\n',b'-7\n',arithmetic__add_sub_multiple_train.csv
b'What is 11 + (10 - (21 - -1))?\n',b'-1\n',arithmetic__add_sub_multiple_train.csv
b'-29 + (-37 - -75) - (0 - (0 + -39))\n',b'-30\n',arithmetic__add_sub_multiple_train.csv
b'(9 - 2) + -1 - (32 - (7 + -32))\n',b'-51\n',arithmetic__add_sub_multiple_train.csv
b'Calculate (-17 - (2 - 8)) + 18 + -2 + 22.\n',b'27\n',arithmetic__add_sub_multiple_train.csv
b'Evaluate (-2 + 1 - (-17 + 16)) + -1.\n',b'-1\n',arithmetic__add_sub_multiple_train.csv
b'-1 - (3 - -2) - -8\n',b'2\n',arithmetic__add_sub_multiple_train.csv
b'Evaluate 102 + -157 - (-8 - -23 - -5).\n',b'-75\n',arithmetic__add_sub_multiple_train.csv
b'What is -8 - (-71 - -61) - ((-1 - -2) + 2)?\n',b'-1\n',arithmetic__add_sub_multiple_train.csv
b'What is 5 + 0 - (-3 - (2 - 5))?\n',b'5\n',arithmetic__add_sub_multiple_train.csv
b'(7 - (-6 - -3)) + -9 + -6\n',b'-5\n',arithmetic__add_sub_multiple_train.csv
b'Evaluate 35 + -1 + 1714 + -1770.\n',b'-22\n',arithmetic__add_sub_multiple_train.csv
b'-11 - 4 - -5 - -10\n',b'0\n',arithmetic__add_sub_multiple_train.csv
b'Evaluate 10 - ((-1 - (-7 + (5 - -1))) + -1).\n',b'11\n',arithmetic__add_sub_multiple_train.csv
b'Divide 87 by -161.\n',b'-87/161\n',arithmetic__div_train.csv
b'What is -193 divided by 120?\n',b'-193/120\n',arithmetic__div_train.csv
b'What is -7 divided by 21089?\n',b'-7/21089\n',arithmetic__div_train.csv
b'251316 divided by 27924\n',b'9\n',arithmetic__div_train.csv
b'89967950 divided by -5\n',b'-17993590\n',arithmetic__div_train.csv
b'What is -57 divided by 45?\n',b'-19/15\n',arithmetic__div_train.csv
b'Divide 7 by 158.\n',b'7/158\n',arithmetic__div_train.csv
b'Divide 2805 by -11.\n',b'-255\n',arithmetic__div_train.csv
b'Divide 4932338 by 2.\n',b'2466169\n',arithmetic__div_train.csv
b'Calculate 26071643 divided by -871.\n',b'-29933\n',arithmetic__div_train.csv
b'6 divided by 336\n',b'1/56\n',arithmetic__div_train.csv
b'What is 61 divided by -6?\n',b'-61/6\n',arithmetic__div_train.csv
b'Divide 1 by -71.\n',b'-1/71\n',arithmetic__div_train.csv
b'-87957388 divided by 21989347\n',b'-4\n',arithmetic__div_train.csv
b'Divide 258876 by 27.\n',b'9588\n',arithmetic__div_train.csv
b'What is 29 divided by 1?\n',b'29\n',arithmetic__div_train.csv
b'What is 30824 divided by -4?\n',b'-7706\n',arithmetic__div_train.csv
b'964 divided by 25\n',b'964/25\n',arithmetic__div_train.csv
b'What is 781 divided by -6?\n',b'-781/6\n',arithmetic__div_train.csv
b'Divide 949614 by -4.\n',b'-474807/2\n',arithmetic__div_train.csv
b'Evaluate (-48)/12 - (-3 - 0).\n',b'-1\n',arithmetic__mixed_train.csv
b'Evaluate -1*(-3 + (-46)/(-8) - 3).\n',b'1/4\n',arithmetic__mixed_train.csv
b'(-52767)/2214 + 1*(-10)/(-12)\n',b'-23\n',arithmetic__mixed_train.csv
b'What is the value of (-276)/(-483)*(-840)/(-128)?\n',b'15/4\n',arithmetic__mixed_train.csv
b'Calculate (-8)/10*(-43015)/44244.\n',b'7/9\n',arithmetic__mixed_train.csv
b'What is 3*(-176)/252 - -2?\n',b'-2/21\n',arithmetic__mixed_train.csv
b'What is 21/(-105) - 11/20?\n',b'-3/4\n',arithmetic__mixed_train.csv
b'Evaluate 3/(-1) + (4 - (-20)/(-12)).\n',b'-2/3\n',arithmetic__mixed_train.csv
b'14*((-768)/(-126) - 6)\n',b'4/3\n',arithmetic__mixed_train.csv
b'What is (2 - 581/294)/((-1530)/1071)?\n',b'-1/60\n',arithmetic__mixed_train.csv
b'Calculate (1 + (-63)/56)*40/(-175).\n',b'1/35\n',arithmetic__mixed_train.csv
b'Evaluate (2 + 0)*(2 - 4)/(-2).\n',b'2\n',arithmetic__mixed_train.csv
b'18/(-14)*-1 - (-4)/(-14)\n',b'1\n',arithmetic__mixed_train.csv
b'Evaluate (621/(-168) + 220/3080)*4.\n',b'-29/2\n',arithmetic__mixed_train.csv
b'Calculate (-8)/(-16)*(21/(-2))/((-90)/(-120)).\n',b'-7\n',arithmetic__mixed_train.csv
b'Calculate 1*2*-3 - -4.\n',b'-2\n',arithmetic__mixed_train.csv
b'What is (4 + -2)/(-2)*(-1583 - -1590)?\n',b'-7\n',arithmetic__mixed_train.csv
b'What is (-2)/(6/(-15)) + (308/(-33) - -3)?\n',b'-4/3\n',arithmetic__mixed_train.csv
b'What is 44/(-10) - 69/115?\n',b'-5\n',arithmetic__mixed_train.csv
b'Evaluate (-6)/8 + (-3920)/(-448).\n',b'8\n',arithmetic__mixed_train.csv
b'What is (2/(-2))/(16*14/1568)?\n',b'-7\n',arithmetic__mul_div_multiple_train.csv
b'What is (18/9)/(3/3*-1)?\n',b'-2\n',arithmetic__mul_div_multiple_train.csv
b'Calculate (-1)/(((-24)/16)/((-15)/(-20)))*-26.\n',b'-13\n',arithmetic__mul_div_multiple_train.csv
b'-1*-9*16/(-108)*1*6\n',b'-8\n',arithmetic__mul_div_multiple_train.csv
b'Evaluate 4/(-406)*2*(483/(-92))/(1188/88).\n',b'2/261\n',arithmetic__mul_div_multiple_train.csv
b'2/(-7)*(-77)/352*6\n',b'3/8\n',arithmetic__mul_div_multiple_train.csv
b'Evaluate 48/(-24)*1/(-6).\n',b'1/3\n',arithmetic__mul_div_multiple_train.csv
b'8/24*9/2\n',b'3/2\n',arithmetic__mul_div_multiple_train.csv
b'Evaluate -15*7*(-319)/(-3045).\n',b'-11\n',arithmetic__mul_div_multiple_train.csv
b'Calculate 90/(-4)*(6336/109824)/(((-210)/32)/7).\n',b'18/13\n',arithmetic__mul_div_multiple_train.csv
b'What is the value of ((-1)/((26/(-2))/(-52)))/(8/46)?\n',b'-23\n',arithmetic__mul_div_multiple_train.csv
b'What is 42/(-12)*15/(60/8)?\n',b'-7\n',arithmetic__mul_div_multiple_train.csv
b'What is (99/(-22))/(5/10)?\n',b'-9\n',arithmetic__mul_div_multiple_train.csv
b'Evaluate (-13)/(-416)*-12*(-92)/46.\n',b'3/4\n',arithmetic__mul_div_multiple_train.csv
b'Evaluate (-6)/(5*1*252/(-210))*37.\n',b'37\n',arithmetic__mul_div_multiple_train.csv
b'What is the value of (-2)/(-5)*(-33)/44*20?\n',b'-6\n',arithmetic__mul_div_multiple_train.csv
b'Evaluate -36*(-4)/32*(-6)/108.\n',b'-1/4\n',arithmetic__mul_div_multiple_train.csv
b'(176/120)/(104/(-260))\n',b'-11/3\n',arithmetic__mul_div_multiple_train.csv
b'Calculate ((-4)/1)/(2/(-8)*4).\n',b'4\n',arithmetic__mul_div_multiple_train.csv
b'What is (-225)/30*(-5)/150*68?\n',b'17\n',arithmetic__mul_div_multiple_train.csv
b'0.5 * -536\n',b'-268\n',arithmetic__mul_train.csv
b'Product of 0.2 and 27.\n',b'5.4\n',arithmetic__mul_train.csv
b'What is 3100.72 times 0.5?\n',b'1550.36\n',arithmetic__mul_train.csv
b'Work out -177 * 1010.\n',b'-178770\n',arithmetic__mul_train.csv
b'Calculate -247953*642.\n',b'-159185826\n',arithmetic__mul_train.csv
b'What is the product of 0.06 and -0.09?\n',b'-0.0054\n',arithmetic__mul_train.csv
b'-29 times -0.0143\n',b'0.4147\n',arithmetic__mul_train.csv
b'Multiply -2 and 3.2.\n',b'-6.4\n',arithmetic__mul_train.csv
b'What is the product of 31047 and -0.1?\n',b'-3104.7\n',arithmetic__mul_train.csv
b'Multiply -70709.44 and 2.\n',b'-141418.88\n',arithmetic__mul_train.csv
b'21 * 40500\n',b'850500\n',arithmetic__mul_train.csv
b'Work out -0.07 * -99.\n',b'6.93\n',arithmetic__mul_train.csv
b'32 times -2.9\n',b'-92.8\n',arithmetic__mul_train.csv
b'What is the product of -52 and -2.36965?\n',b'123.2218\n',arithmetic__mul_train.csv
b'Work out 1 * 29476.\n',b'29476\n',arithmetic__mul_train.csv
b'Calculate 3.3*0.47.\n',b'1.551\n',arithmetic__mul_train.csv
b'Product of -999547 and 0.4.\n',b'-399818.8\n',arithmetic__mul_train.csv
b'What is 119 times 0.265?\n',b'31.535\n',arithmetic__mul_train.csv
b'Work out 0.5 * -0.266.\n',b'-0.133\n',arithmetic__mul_train.csv
b'What is -0.9675 times -6?\n',b'5.805\n',arithmetic__mul_train.csv
"b'What is 52416 to the power of 1/2, to the nearest integer?\n'",b'229\n',arithmetic__nearest_integer_root_train.csv
b'What is the cube root of 12617 to the nearest integer?\n',b'23\n',arithmetic__nearest_integer_root_train.csv
"b'What is 4827096 to the power of 1/3, to the nearest integer?\n'",b'169\n',arithmetic__nearest_integer_root_train.csv
b'What is the sixth root of 843384 to the nearest integer?\n',b'10\n',arithmetic__nearest_integer_root_train.csv
b'What is the third root of 8499555 to the nearest integer?\n',b'204\n',arithmetic__nearest_integer_root_train.csv
"b'What is 44030 to the power of 1/10, to the nearest integer?\n'",b'3\n',arithmetic__nearest_integer_root_train.csv
"b'What is 4332 to the power of 1/2, to the nearest integer?\n'",b'66\n',arithmetic__nearest_integer_root_train.csv
"b'What is 69307 to the power of 1/4, to the nearest integer?\n'",b'16\n',arithmetic__nearest_integer_root_train.csv
b'What is the third root of 541114 to the nearest integer?\n',b'81\n',arithmetic__nearest_integer_root_train.csv
"b'What is 1999025620 to the power of 1/2, to the nearest integer?\n'",b'44710\n',arithmetic__nearest_integer_root_train.csv
b'What is the third root of 259002 to the nearest integer?\n',b'64\n',arithmetic__nearest_integer_root_train.csv
b'What is the square root of 8298 to the nearest integer?\n',b'91\n',arithmetic__nearest_integer_root_train.csv
b'What is the cube root of 2149 to the nearest integer?\n',b'13\n',arithmetic__nearest_integer_root_train.csv
b'What is the ninth root of 6297977489 to the nearest integer?\n',b'12\n',arithmetic__nearest_integer_root_train.csv
b'What is the square root of 183258 to the nearest integer?\n',b'428\n',arithmetic__nearest_integer_root_train.csv
b'What is the square root of 6802 to the nearest integer?\n',b'82\n',arithmetic__nearest_integer_root_train.csv
b'What is the square root of 288586 to the nearest integer?\n',b'537\n',arithmetic__nearest_integer_root_train.csv
"b'What is 4807007 to the power of 1/8, to the nearest integer?\n'",b'7\n',arithmetic__nearest_integer_root_train.csv
"b'What is 4050 to the power of 1/3, to the nearest integer?\n'",b'16\n',arithmetic__nearest_integer_root_train.csv
b'What is the cube root of 7556289 to the nearest integer?\n',b'196\n',arithmetic__nearest_integer_root_train.csv
b'Simplify (sqrt(192) + 1)**2*5 + 0 + -2*sqrt(192) + sqrt(192).\n',b'72*sqrt(3) + 965\n',arithmetic__simplify_surd_train.csv
b'Simplify (sqrt(98) - (sqrt(98) - (sqrt(98) + -1))) + -1*sqrt(2)*-4.\n',b'-1 + 11*sqrt(2)\n',arithmetic__simplify_surd_train.csv
b'Simplify (2*1*sqrt(85))/(sqrt(320)*-1) + -4.\n',b'-4 - sqrt(17)/4\n',arithmetic__simplify_surd_train.csv
b'Simplify (3*sqrt(624)*-2)/(((sqrt(363) + (sqrt(363)*-1 - sqrt(363)) - sqrt(363)) + sqrt(363) - sqrt(3))*-5).\n',b'-2*sqrt(13)/5\n',arithmetic__simplify_surd_train.csv
b'Simplify (sqrt(832) - (sqrt(832) + 2*(0 + sqrt(832)))**2)*-4 + (2*6*sqrt(1872)*-3)**2.\n',b'-32*sqrt(13) + 2456064\n',arithmetic__simplify_surd_train.csv
b'Simplify sqrt(99)/(sqrt(9) + sqrt(27)/sqrt(3))*-1.\n',b'-sqrt(11)/2\n',arithmetic__simplify_surd_train.csv
b'Simplify ((sqrt(3) + -2)*6 - (sqrt(48) - sqrt(3) - sqrt(3))*3)**2.\n',b'144\n',arithmetic__simplify_surd_train.csv
b'Simplify sqrt(76)/(sqrt(36)*-6) + sqrt(171) + -1 + -2.\n',b'-3 + 53*sqrt(19)/18\n',arithmetic__simplify_surd_train.csv
b'Simplify (sqrt(154)/((sqrt(11) + sqrt(66)/sqrt(6))*-2))/(-3*sqrt(6050)).\n',b'sqrt(7)/660\n',arithmetic__simplify_surd_train.csv
b'Simplify (-6*(sqrt(66) - (3*2*sqrt(66) - sqrt(66))))/(((-2*sqrt(240))/sqrt(8))/sqrt(5)) + -3.\n',b'-12*sqrt(11) - 3\n',arithmetic__simplify_surd_train.csv
b'Simplify (0 + (-1*sqrt(832)*3*1 - 4*(sqrt(832) + sqrt(832) + 0)*5))**2.\n',b'1538368\n',arithmetic__simplify_surd_train.csv
b'Simplify 1*(sqrt(65) - -3*2*sqrt(65))/(-1*sqrt(605)).\n',b'-7*sqrt(13)/11\n',arithmetic__simplify_surd_train.csv
b'Simplify (2*(3 + sqrt(1008)))**2.\n',b'288*sqrt(7) + 4068\n',arithmetic__simplify_surd_train.csv
b'Simplify (0 + (sqrt(1100) - (sqrt(1100) + 2 - sqrt(1100)) - sqrt(11)) + 3 - (3*sqrt(275) + 3 + -2*sqrt(11)))**2.\n',b'16*sqrt(11) + 180\n',arithmetic__simplify_surd_train.csv
b'Simplify (6*(sqrt(441) + sqrt(49)) - (sqrt(49) + -1*sqrt(2401)))/(2*(-1*sqrt(847) - sqrt(847))) + 0.\n',b'-15*sqrt(7)/22\n',arithmetic__simplify_surd_train.csv
b'Simplify 5 + ((sqrt(320) + sqrt(320) + -1)*-5)**2 + 0.\n',b'-800*sqrt(5) + 32030\n',arithmetic__simplify_surd_train.csv
b'Simplify (sqrt(36) + sqrt(72)/(3*sqrt(2)))/(sqrt(588)*1).\n',b'4*sqrt(3)/21\n',arithmetic__simplify_surd_train.csv
b'Simplify (-4 + (2 + sqrt(539))*-6 + (sqrt(539) - -2*sqrt(539)*3))**2.\n',b'-224*sqrt(11) + 795\n',arithmetic__simplify_surd_train.csv
b'Simplify 5 + 3 + -5 + sqrt(19).\n',b'3 + sqrt(19)\n',arithmetic__simplify_surd_train.csv
b'Simplify ((sqrt(432) + 0)*-1 - (-2*sqrt(432)*5)**2)*-4.\n',b'48*sqrt(3) + 172800\n',arithmetic__simplify_surd_train.csv
b'Let w(p) = 2*p**4 - 5*p**3 + 5*p**2. Let y(l) = -l**4 + 6*l**3 - 5*l**2. Let n(a) = 6*w(a) + 5*y(a). What is the third derivative of n(h) wrt h?\n',b'168*h\n',calculus__differentiate_composed_train.csv
b'Let l(t) be the first derivative of 2 + t**2 + 0*t + 1/3*t**3. What is the second derivative of l(j) wrt j?\n',b'2\n',calculus__differentiate_composed_train.csv
b'Let s = -51 + 68. Differentiate -3 - s - 5 - 40*w**3 wrt w.\n',b'-120*w**2\n',calculus__differentiate_composed_train.csv
b'What is the third derivative of 140*r**3 + 16*r**4 + 142*r**3 + 9 + 6*r**2 + 5 - 283*r**3 wrt r?\n',b'384*r - 6\n',calculus__differentiate_composed_train.csv
b'Let l(j) be the second derivative of -397*j**7/6 + 677*j**4/4 + 7131*j. Find the third derivative of l(g) wrt g.\n',b'-166740*g**2\n',calculus__differentiate_composed_train.csv
b'Let w be 34/4 + (-5)/(-10). Find the second derivative of 7*y + 6*y - w*y + 5*y**5 wrt y.\n',b'100*y**3\n',calculus__differentiate_composed_train.csv
b'Find the third derivative of -1 + 192*o**2 - 181*o**2 + 2*o**3 - 2 wrt o.\n',b'12\n',calculus__differentiate_composed_train.csv
b'Let h be -3 + -1*(-2 - -1). Let t = -2 - h. Find the second derivative of t*q - 4*q - q**5 + 2*q wrt q.\n',b'-20*q**3\n',calculus__differentiate_composed_train.csv
b'Let j(z) = -z**3 - z**2 - z. Let w(v) = -v**4 - v - v - 3*v**2 - 2*v**3 + 0*v**2 - v**4. Let s(o) = -2*j(o) + w(o). What is the third derivative of s(k) wrt k?\n',b'-48*k\n',calculus__differentiate_composed_train.csv
b'Suppose 9 = 14*k - 7*k - 5. Let x(t) be the first derivative of -6 - 13/3*t**3 + 0*t - 21/2*t**k. Find the second derivative of x(c) wrt c.\n',b'-26\n',calculus__differentiate_composed_train.csv
b'Let c(t) be the second derivative of -197*t**5/10 - 31*t**3/2 - 449*t. What is the second derivative of c(o) wrt o?\n',b'-2364*o\n',calculus__differentiate_composed_train.csv
b'Let q(p) = -12*p**3 - p + 5. Let s(u) = 18*u**3 + 2*u - 8. Let x(y) = 8*q(y) + 5*s(y). Find the second derivative of x(v) wrt v.\n',b'-36*v\n',calculus__differentiate_composed_train.csv
"b'Suppose 10 = -5*n, -6 = -4*v - 6*n + n. Let a(i) = 3*i**4 + 8*i. Let t(c) = c**4. Let h(q) = v*t(q) - a(q). Find the second derivative of h(g) wrt g.\n'",b'12*g**2\n',calculus__differentiate_composed_train.csv
b'Suppose 8*b = 24 + 1368. Find the first derivative of -b + 268*h - 376*h + 187*h wrt h.\n',b'79\n',calculus__differentiate_composed_train.csv
b'Let d(y) be the second derivative of y**5/5 - 7*y**4/12 + y**3/3 - 3*y. Let l(g) = g**3 + g. Let i(z) = -d(z) + 2*l(z). Find the third derivative of i(j) wrt j.\n',b'-12\n',calculus__differentiate_composed_train.csv
"b'Suppose -4*c + 18 = -0*c + 2*u, 0 = -3*c + 4*u + 8. Find the first derivative of 5*h**4 + 2 - 4*h**c + 2*h**4 wrt h.\n'",b'12*h**3\n',calculus__differentiate_composed_train.csv
"b'Let b be 0*(7/3 - (5 + -3)). Suppose a - 4*a + 3 = -3*m, -3*m = a - 1. What is the second derivative of -3*q**2 + q - q**2 + m*q + b*q wrt q?\n'",b'-8\n',calculus__differentiate_composed_train.csv
b'Let f(m) be the first derivative of -371*m**3/3 + 187*m + 339. Find the first derivative of f(b) wrt b.\n',b'-742*b\n',calculus__differentiate_composed_train.csv
b'Let i(r) = -r**2 + 4. Let u be i(0). Differentiate -u + 1 + 6*s**2 + s**2 + 6 wrt s.\n',b'14*s\n',calculus__differentiate_composed_train.csv
b'Suppose 0 = 4*o + o - 130. Find the second derivative of -20*i + o*i + 4*i**5 + 5*i**5 wrt i.\n',b'180*i**3\n',calculus__differentiate_composed_train.csv
b'What is the derivative of -137*l**4 - 2*l - 80 wrt l?\n',b'-548*l**3 - 2\n',calculus__differentiate_train.csv
b'Find the third derivative of -54*j**5 + 28*j**2 - j wrt j.\n',b'-3240*j**2\n',calculus__differentiate_train.csv
b'Find the third derivative of -10074*h**3*i**3 - 2*h**3*i**2 - 2*h**3*i + 819*h**2*i**3 + 12*h*i**3 wrt h.\n',b'-60444*i**3 - 12*i**2 - 12*i\n',calculus__differentiate_train.csv
b'Differentiate -2*a*d*q - 29247*a*d*x**3 - 3*a*x - 2*a + 4290*q*x**3 with respect to d.\n',b'-2*a*q - 29247*a*x**3\n',calculus__differentiate_train.csv
b'Find the second derivative of -80467967*c**3 - 136106872*c wrt c.\n',b'-482807802*c\n',calculus__differentiate_train.csv
b'Find the third derivative of t**4 - 55*t**3 - 108*t**2 - t wrt t.\n',b'24*t - 330\n',calculus__differentiate_train.csv
b'What is the derivative of -306*d**2*p**2*w - 2*d*p**2*w**3 - 31*p**2*w**2 - 2*p*w**3 + w**2 wrt d?\n',b'-612*d*p**2*w - 2*p**2*w**3\n',calculus__differentiate_train.csv
b'What is the third derivative of -d**2*f**6 - 1710*d**2*f**2 - 2*d*f**2 - 1321*f**5 wrt f?\n',b'-120*d**2*f**3 - 79260*f**2\n',calculus__differentiate_train.csv
b'Find the second derivative of -281*v**2*y + 241*v**2 + 26*v*y + 215*v + 2*y + 2 wrt v.\n',b'-562*y + 482\n',calculus__differentiate_train.csv
b'What is the second derivative of 2802682*d**5 + 822481812*d wrt d?\n',b'56053640*d**3\n',calculus__differentiate_train.csv
b'Differentiate -209*b**3*r**2 - b**3 - 4*b*r**2 + 7*b + 166*r**2 - 1014 with respect to r.\n',b'-418*b**3*r - 8*b*r + 332*r\n',calculus__differentiate_train.csv
b'Differentiate 78*i**2*s**3 - 9*i*s**3 + 1219*s**3 with respect to i.\n',b'156*i*s**3 - 9*s**3\n',calculus__differentiate_train.csv
b'What is the third derivative of -341*x**5 + x**4 - 578*x**2 wrt x?\n',b'-20460*x**2 + 24*x\n',calculus__differentiate_train.csv
b'What is the first derivative of -f**3 - f**2 + 507161*f - 10988467?\n',b'-3*f**2 - 2*f + 507161\n',calculus__differentiate_train.csv
b'Find the second derivative of 1685704*x**2 + 60457*x + 4.\n',b'3371408\n',calculus__differentiate_train.csv
b'Find the first derivative of 1758*k*t - 2*k - 1086*t wrt k.\n',b'1758*t - 2\n',calculus__differentiate_train.csv
b'What is the third derivative of -157555*u**6 + 141811*u**2 wrt u?\n',b'-18906600*u**3\n',calculus__differentiate_train.csv
b'What is the first derivative of 854742*g**2 + 3235590 wrt g?\n',b'1709484*g\n',calculus__differentiate_train.csv
b'What is the second derivative of -2905*z**3 - 3605*z wrt z?\n',b'-17430*z\n',calculus__differentiate_train.csv
b'Find the third derivative of -f**2*h**3*y**3 + 1165*f**2*h**3 + f**2*y - 3*f*h**2*y**3 - 4*f*h**2 - h**2*y**3 + 243*h**2 wrt h.\n',b'-6*f**2*y**3 + 6990*f**2\n',calculus__differentiate_train.csv
"b'Let l = 3 + -1. Let n = -2.5 + l. Let b = -11 + 7. What is the closest to -0.1 in -0.2, b, n?\n'",b'-0.2\n',comparison__closest_composed_train.csv
"b'Let k be ((-111)/9 + 1)*(-9)/(-12). What is the nearest to 2/5 in -0.5, k, -3?\n'",b'-0.5\n',comparison__closest_composed_train.csv
"b'Let x be (-1 + -1)/(-68 - -71). Suppose -2*z - 5 = -3*z. What is the closest to x in z, 7/4, 0?\n'",b'0\n',comparison__closest_composed_train.csv
"b'Let s = 2 - 1.28. Let f = 0.42 - s. Let h = -0.1 - 0. What is the nearest to -1 in h, f, -5?\n'",b'f\n',comparison__closest_composed_train.csv
b'Let w = 0.16293 + 0.03707. Which is the nearest to 0.1?  (a) -0.1  (b) -0.14  (c) w  (d) -0.5\n',b'c\n',comparison__closest_composed_train.csv
"b'Let h = -2.1568 - 0.0532. Let k = -0.21 - h. What is the closest to k in 4, -3, -1/3?\n'",b'4\n',comparison__closest_composed_train.csv
"b'Suppose 3*m + 9 = 5*r, 5*r - m - 7 = 6. What is the closest to 0 in -2/3, 5, r?\n'",b'-2/3\n',comparison__closest_composed_train.csv
b'Let f = 0 + -3. Let h = f - -2.8. Let n = -7 - -4. Which is the nearest to 1/4?  (a) n  (b) h  (c) 5\n',b'b\n',comparison__closest_composed_train.csv
"b'Let b = -824 - -824.2. Let i = 3 - 2.8. What is the closest to b in -5, i, 0.4?\n'",b'i\n',comparison__closest_composed_train.csv
b'Suppose -11*l - 56*l = 52*l - 20*l. Which is the closest to 0?  (a) 16  (b) 5  (c) 0.133  (d) l\n',b'd\n',comparison__closest_composed_train.csv
"b'Let q = 53.8 - 52.8. What is the nearest to q in -1/3, 6, -0.5?\n'",b'-1/3\n',comparison__closest_composed_train.csv
b'Let v = -1.63 + 12.73. Let l = 11 - v. Which is the nearest to 0.1?  (a) 4  (b) l  (c) 5\n',b'b\n',comparison__closest_composed_train.csv
"b'Let z = 25/12 - 11/4. What is the closest to 1 in 0, z, -0.3?\n'",b'0\n',comparison__closest_composed_train.csv
b'Let j(o) = o**3 + 9*o**2 + 3*o + 78. Let z be j(-10). Which is the nearest to 0?  (a) -0.8  (b) -0.5  (c) -1  (d) z\n',b'b\n',comparison__closest_composed_train.csv
b'Let x = -4.646 + -0.354. Let l be 6*1/(-2)*-3. Which is the closest to -2/7?  (a) x  (b) l  (c) -0.4\n',b'c\n',comparison__closest_composed_train.csv
b'Let x = 13/3 + -4. Which is the closest to 0?  (a) -0.4  (b) x  (c) -4\n',b'b\n',comparison__closest_composed_train.csv
"b'Let n(h) = h**2 + 11*h - 22. Let a be n(-13). Let g = -29/2 + 13. Suppose -c = 2*c. What is the nearest to c in -0.3, a, g?\n'",b'-0.3\n',comparison__closest_composed_train.csv
b'Let w = 21 - 21.06. Let i = 0.08 + w. Let t = 0.18 + i. Which is the closest to t?  (a) 2/5  (b) -1/4  (c) -0.5\n',b'a\n',comparison__closest_composed_train.csv
"b'Let u be 290/(-280) + 2/7. What is the nearest to u in 0.3, -0.1, -2/3?\n'",b'-2/3\n',comparison__closest_composed_train.csv
b'Let i = -11.6 - -12. Let v = 164 - 817/5. Let l = 43 + -300/7. Which is the nearest to -2?  (a) v  (b) l  (c) i\n',b'b\n',comparison__closest_composed_train.csv
b'Which is the nearest to -96?  (a) -0.3  (b) 0.5  (c) -0.2\n',b'a\n',comparison__closest_train.csv
"b'What is the nearest to 1 in 0.2, -1/5, 0.65, -1/3?\n'",b'0.65\n',comparison__closest_train.csv
"b'What is the closest to 5 in 1/9, 2, -3138, -1?\n'",b'2\n',comparison__closest_train.csv
"b'What is the closest to 1/11 in -1/3, 13, -0.15, 0.5, -0.2?\n'",b'-0.15\n',comparison__closest_train.csv
b'Which is the closest to -1?  (a) -1/8  (b) -2716  (c) 1.19  (d) -5\n',b'a\n',comparison__closest_train.csv
"b'What is the nearest to 1/4 in -3, 3/4, 0.4?\n'",b'0.4\n',comparison__closest_train.csv
b'Which is the nearest to 1?  (a) 2174  (b) 2  (c) -2/11\n',b'b\n',comparison__closest_train.csv
b'Which is the nearest to 2/3?  (a) 3  (b) 2/3  (c) -0.13\n',b'b\n',comparison__closest_train.csv
b'Which is the closest to 13?  (a) -29  (b) 0.1  (c) -0.2  (d) -0.4\n',b'b\n',comparison__closest_train.csv
"b'What is the closest to 0.2 in 1/8, 197/5, 5, 7/3?\n'",b'1/8\n',comparison__closest_train.csv
"b'What is the closest to 2 in -0.09, 1090, -1/4?\n'",b'-0.09\n',comparison__closest_train.csv
b'Which is the nearest to -0.1?  (a) 0.5  (b) 0  (c) 9/14\n',b'b\n',comparison__closest_train.csv
b'Which is the closest to 9/2?  (a) -2  (b) 2  (c) -0.053  (d) -2/9\n',b'b\n',comparison__closest_train.csv
"b'What is the nearest to 163849 in -0.3, -3, -10?\n'",b'-0.3\n',comparison__closest_train.csv
